hypothesis,references
What team won Super Bowl 50?,What team defeated the Carolina Panthers 24-10 to win the Super Bowl?
When was Super Bowl 50 played?,What was the name of the Super Bowl 50 game played in?
What team won Super Bowl 50?,What team defeated the Carolina Panthers 24-10 to win the Super Bowl?
Who won Super Bowl 50?,Who was the AFC champion in 2015?
Who did the Panthers defeat in the Super Bowl?,Who did the Panthers defeat to win their second Super Bowl title?
Who did the Panthers defeat in the Super Bowl?,Who did the Panthers defeat in the Super Bowl to win their second Super Bowl?
Who did the Panthers defeat in the Super Bowl?,Which team did the Panthers defeat in the Super Bowl?
Who was named Super Bowl MVP?,Who was the Super Bowl MVP of the Denver Broncos?
Who was named Super Bowl MVP?,"Who had five solo tackles, 2½ sacks and two forced fumbles in Super Bowl 50?"
Who was named Super Bowl MVP?,How many solo tackles did Von Miller record in Super Bowl 50?
Who performed at the Super Bowl 50 halftime show?,Who performed a 30-second commercial during the Super Bowl 50 halftime show?
Who performed at the Super Bowl 50 halftime show?,Who performed a 30-second commercial during the Super Bowl 50 halftime show?
Who performed at the Super Bowl 50 halftime show?,Who performed a 30 second commercial during the Super Bowl 50 halftime show?
Who played in the 50th Super Bowl?,Who played in the 50th Super Bowl in 2012?
Who was the commissioner of the NFL in 2012?,"Who said that the 50th Super Bowl would be ""spectacular"" and ""an important game for us as a league""?"
What is the name of the stadium in San Francisco?,What stadium did the league eventually narrow down to three?
When was the Super Bowl XLIV held?,When did the league narrow down the finalists to three?
When was Super Bowl XLIV held?,When did the San Francisco Bay Area host Super Bowl XLIX?
When did the San Francisco Bay Area host the Super Bowl?,When was the last Super Bowl held in the Bay Area?
When was Super Bowl XIX held?,When did the San Francisco Bay Area host Super Bowl XLIX?
When was the Levi's Stadium opened?,When did the San Francisco Bay Area get a Super Bowl?
When was the Levi's Stadium opened?,When did the San Francisco Bay Area's first Super Bowl take place?
Who was the head coach of the Carolina Panthers in 2014?,Who was the head coach of the Carolina Panthers prior to Super Bowl 50?
How many Super Bowl appearances did the Carolina Panthers have?,How many Super Bowl appearances did the Carolina Panthers have in the third straight season?
Who did the Carolina Panthers lose to in the preseason?,What NFL player did the Carolina Panthers lose to in their last regular season game?
In what year did Carolina lose Kelvin Benjamin?,What was Carolina's record for regular season games?
What team had the best regular season in franchise history?,What team had the best regular season since the league expanded to 16 games in 1978?
How many total touchdowns did Newton have?,How many times did Newton have a career-high and league-leading passer rating?
Who led the Panthers in points?,What was Newton's career-high and league-leading total of career-highs?
How many total touchdowns did Newton have?,How many total points did Carolina's defense give up in the regular season?
Who led the NFL in interceptions?,What Panthers defensive end led the league with 11.5 sacks?
Who replaced Fox as head coach?,Who was the head coach of the Denver Broncos in 1998?
Who replaced Fox as head coach?,Who was the head coach of the Denver Broncos in 2015?
Who replaced Fox as head coach?,Who was the Broncos' head coach at the time of the 2015 season?
"Who led the team with 105 receptions for 1,304 yards and six touchdowns?",What was Osweiler's career high passer rating?
What was Osweiler's passer rating?,What was the career-low passer rating for Osweiler in the NFL?
What position did Von Miller play for the Broncos?,What position did Von Miller play for the Broncos in the Pro Bowl?
Who led the Broncos in total tackles?,Who led the Broncos with 11 sacks in the Pro Bowl?
What team did the Panthers beat in the divisional round?,What team did the Carolina Panthers defeat in the divisional round?
